old_file path,new_file path,commit SHA,parent commit SHA,commit message,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,16,4,15,[16]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,17,4,22,[17]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,18,4,33,[18]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,19,4,31,[19]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,20,4,31,[20]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,21,4,29,[21]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,22,4,29,[22]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,24,4,25,[24]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,25,4,29,[25]
tests/test_opencage.py,tests/test_opencage.py,a8cdd0316b7b89d451f4bc3a300411d421770c9a,40a03d8b6c04f46e39c891f251d6d1a034557585,'fix calls to BBox with invalid input',5,assert_used,B101,LOW,HIGH,30,4,21,[30]
