file_path,test_id,issue_severity,issue_confidence,col_offset,end_col_offset,line_range,commit,commit_number,fix_commit,fix_commit_number
torch/_inductor/pattern_matcher.py,B101,LOW,HIGH,16,48,1,a50af71fb657d93c34545c55ce0318e185b65a7e,59,80d3afc6985e1d27e374ce7d39d062b59f028e25,62
test/test_linalg.py,B101,LOW,HIGH,16,84,1,3e2d9d079e49d3dda6069cddd8dcb0d2e5cb5b48,46,9605c5063b28a8e986990031d58e9809a76d597d,70
torch/_inductor/codecache.py,B603,LOW,HIGH,12,38,1,0b52d801d2297ad6c38e631eedfd4dead9360e1b,77,22fae0d948ac14c72b510fafc2283072d744dff9,78
benchmarks/dynamo/cachebench.py,B603,LOW,HIGH,12,65,1,ab3b814af39dff88d28c9c979e7e235843aaf54b,97,60d4cbfc06232647a837221591987ef44be19b5b,98
torch/_inductor/codecache.py,B603,LOW,HIGH,12,38,1,2680e835c87be0e38c713deda900afa68774649c,110,7ed0670e2193ae70170c09617f6da4c0f37ce829,111
torch/_inductor/codecache.py,B103,MEDIUM,HIGH,20,46,1,7ed0670e2193ae70170c09617f6da4c0f37ce829,111,0b9da1ae0ad30ef228f132354b875bcaec214ace,113
test/inductor/test_cutlass_backend.py,B605,HIGH,HIGH,22,46,1,4b7604ec101807306a347878438e598fea014253,96,0633f63f0d7d2ab92611a2a523abefae8fa1797e,143
test/inductor/test_cutlass_backend.py,B101,LOW,HIGH,12,46,1,4b7604ec101807306a347878438e598fea014253,96,0633f63f0d7d2ab92611a2a523abefae8fa1797e,143
test/test_matmul_cuda.py,B101,LOW,HIGH,12,37,1,1e894d26352160204c8980e3cf29a091fa4a3cd4,140,c82c1411c61b645426f7680f7803d84352729142,144
test/inductor/test_compiled_autograd.py,B614,MEDIUM,HIGH,24,40,1,68ddca94498fd7961cc5ebcb0dffafb8c2f4baca,131,90e3a3d86d6139a7b00bdf56bdfe0f63ad18e980,150
test/inductor/test_compiled_autograd.py,B101,LOW,HIGH,4,59,1,68ddca94498fd7961cc5ebcb0dffafb8c2f4baca,131,90e3a3d86d6139a7b00bdf56bdfe0f63ad18e980,150
torch/_inductor/cpp_builder.py,B103,MEDIUM,HIGH,24,52,1,0b9da1ae0ad30ef228f132354b875bcaec214ace,113,acca9b9cb0a38b2eb1bfd5fe0aaff3760dd77812,163
test/test_matmul_cuda.py,B101,LOW,HIGH,12,37,1,12b9674cb603438639298d6c9757ea93e18a7289,162,a84db75e1ba72dcda52c7c5e432a253220d70fa7,166
test/test_transformers.py,B101,LOW,HIGH,8,116,1,fa8e3a28a7bab47742d7f791a24eeb87b04469ca,39,7ffae2c028abf7fed547fd2b8bc3da83f3dc0c49,170
test/test_transformers.py,B614,MEDIUM,HIGH,21,9,9,fa8e3a28a7bab47742d7f791a24eeb87b04469ca,39,7ffae2c028abf7fed547fd2b8bc3da83f3dc0c49,170
test/inductor/test_compiled_autograd.py,B101,LOW,HIGH,4,47,1,90e3a3d86d6139a7b00bdf56bdfe0f63ad18e980,150,0a2da008f8221b79b34a3a9d2190578f76fbf1ed,176
torch/_dynamo/output_graph.py,B101,LOW,HIGH,24,68,1,cf6d1e68244c8376e72e536dba0acae913a038bd,169,f46f0e465c84c7a50192162d176d8a669445142f,194
torch/_dynamo/variables/builder.py,B101,LOW,HIGH,12,76,1,08f4c1a2332921e57c782c80a66b2adc9cdc0575,175,915eb012e1d6df98e7db6907fa51ed1ab14b7332,209
torch/_inductor/cpp_builder.py,B101,LOW,HIGH,16,82,1,acca9b9cb0a38b2eb1bfd5fe0aaff3760dd77812,163,f104ef1248237e93432dfbe1002a7b92c69435a7,212
